site,site_name,Sample_id,depth_category,starting_weight,digested_weight,tin_weight,sample_weight,tray_number,C_percent,N_percent,Del_C,Del_N,mg Carbon,tray_number,type,site_type
WORF,WORF_03,WORF_03D,D,,,34.392,8.462,b10,2.41,,,,,2,raw,ridgetop mineral soil
WORF,WORF_03,WORF_03E,E,,,34.336,8.299,c10,1.99,,,,,2,raw,ridgetop mineral soil
WORF,WORF_03,WORF_03F,F,,,34.177,8.203,d10,1.63,,,,,2,raw,ridgetop mineral soil
WORF,WORF_03,WORF_03G,G,,,34.091,8.965,e10,4.89,,,,,2,raw,ridgetop mineral soil
WORF,WORF_04,WORF_04A,A,,,34.765,8.658,f10,6.9,,,,,2,raw,ridgetop mineral soil
WORF,WORF_04,WORF_04B,B,,,34.235,8.436,g10,4.03,,,,,2,raw,ridgetop mineral soil
WORF,WORF_04,WORF_04C,C,,,34.729,8.759,h10,1.1,,,,,2,raw,ridgetop mineral soil
,,blank,,,,35.34,,a11,,,,,,2,std,
,,standard_1,,,,34.104,0.245,b11,2.31,,,,,2,std,
,,standard_2,,,,34.232,0.586,c11,1.68,,,,,2,std,
,,standard_3,,,,33.878,1.161,d11,1.22,,,,,2,std,
,,standard_4,,,,34.453,2.817,e11,1.22,,,,,2,std,
,,QC_1,,,,34.138,8.852,f11,1.16,,,,,2,std,
,,QC_2,,,,34.136,8.689,g11,1.16,,,,,2,std,
,,QC_3,,,,34.048,8.033,h11,1.16,,,,,2,std,
,,QC_04,,,,33.98,8.305,a12,1.14,,,,,2,std,
,,QC_05,,,,33.724,8.801,b12,1.16,,,,,2,std,
,,QC_06,,,,33.422,8.146,c12,1.17,,,,,2,std,
,,QC_07,,,,34.459,8.128,d12,1.16,,,,,2,std,
,,QC_08,,,,34.228,8.566,e12,1.14,,,,,2,std,
,,QC_09,,,,34.339,8.773,f12,1.17,,,,,2,std,
,,QC_10,,,,33.757,8.697,g12,1.18,,,,,2,std,
,,QC_11,,,,33.426,8.371,h12,1.16,,,,,2,std,
SALM,SALM_03,SALM_03D_kmd,D,1.006,0.8673,33.439,8.711,a1,0.5,0.1,-25.2,8.6,0.04,3,kmd,ridgetop mineral soil
SALM,SALM_03,SALM_03E_kmd,E,0.9733,0.8682,33.613,8.334,b1,0.3,0.1,-25.1,11.8,0.03,3,kmd,ridgetop mineral soil
SALM,SALM_03,SALM_03F_kmd,F,1.0019,0.8804,34.434,8.641,c1,0.3,0.1,-24.9,5.9,0.03,3,kmd,ridgetop mineral soil
